id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
825	tridentata	Larrea	Zygophyllaceae	albidopictus	Phytocoris	Mirini	Miridae	6296	8151	36447	52824	60	517	9380	11	1	9.09	3	0	0	0	LOW
826	scoparius	Lotus	Fabaceae	vicina	Coquillettia	Phylini	Miridae	6296	6292	6374	40501	211	526	907	12	1	8.33	8	0	0	0	LOW
827	emoryi	Sphaeralcea	Malvaceae	princeps	Aoplonema	Orthotylini	Miridae	6296	6291	5734	614	286	596	8790	316	1	0.32	9	0	0	0	LOW
828	scoparius	Lotus	Fabaceae	princeps	Aoplonema	Orthotylini	Miridae	6296	6291	5734	614	211	526	907	316	1	0.32	5	0	0	0	LOW
829	laciniata	Bahiopsis	Asteraceae	princeps	Aoplonema	Orthotylini	Miridae	6296	6291	5734	614	98	17519	17520	316	1	0.32	2	0	0	0	LOW
830	emoryi	Sphaeralcea	Malvaceae	guttulatus	Oncotylus	Phylini	Miridae	6296	6292	6077	4278	286	596	8790	173	3	1.73	11	0	0	0	LOW
831	greggii	Ceanothus	Rhamnaceae	meridionalis	Oligotylus	Phylini	Miridae	6296	6292	6073	497	373	444	764	20	9	45.00	49	0	0	0	HIGH
832	greggii	Ceanothus	Rhamnaceae	ceanothi	Oligotylus	Phylini	Miridae	6296	6292	6073	499	373	444	764	81	8	9.88	4	0	0	0	MEDIUM
833	chrysolepis	Quercus	Fagaceae	susansolomonae	Tuxedo	Phylini	Miridae	6296	6292	6253	550	68	571	698	111	3	2.70	2	0	0	0	LOW
834	chrysolepis	Quercus	Fagaceae	exiguus	Roburocoris	Phylini	Miridae	6296	6292	7436	7516	68	571	698	85	1	1.18	13	0	0	0	LOW
835	greggii	Ceanothus	Rhamnaceae	balli	Atractotomus	Phylini	Miridae	6296	6292	5750	2902	373	444	764	97	8	8.25	59	0	0	0	MEDIUM_HIGH
836	chrysolepis	Quercus	Fagaceae	californica	Irbisia	Mirini	Miridae	6296	8151	36462	40251	68	571	698	455	2	0.44	1	0	0	0	LOW
837	greggii	Ceanothus	Rhamnaceae	brachycera	Irbisia	Mirini	Miridae	6296	8151	36462	37474	373	444	764	303	1	0.33	1	0	0	0	LOW
